Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
11;12;12;PLAZA VICENTE LOPEZ;Parana & Juncal;RECOLETA;COMUNA 2;PLAZA ABIERTA;16;-34,5928;-58,3888
2;2;2;RETIRO I;Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.;RETIRO;COMUNA 1;PLAZA ABIERTA;36;-34,5927;-58,3751
55;70;70;ARAOZ;1413 Araoz & Gorriti;PALERMO;COMUNA 14;CALZADA;20;-34,5927;-58,4258
105;130;130;RETIRO II;Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.;RETIRO;COMUNA 1;PLAZA ABIERTA;40;-34,5927;-58,375
146;181;181;BILLINGHURST Y MANSILLA;1533 Billinghurst & Mansilla, Lucio Norberto, General;RECOLETA;COMUNA 2;CALZADA;20;-34,5926;-58,412
127;158;158;VILLARROEL;1321 Villarroel & Humboldt;CHACARITA;COMUNA 15;CALZADA;20;-34,5925;-58,4452
229;369;304;NAVARRO;2625 Navarro;AGRONOMIA;COMUNA 15;CALZADA;16;-34,5923;-58,492
92;116;116;HOSPITAL ALEMAN;Beruti & Ecuador;RECOLETA;COMUNA 2;CALZADA;12;-34,5921;-58,4028
71;94;94;GUZMAN;129 Av. Guzman & Leiva;CHACARITA;COMUNA 15;PLAZA ABIERTA;30;-34,5917;-58,4497
97;122;122;COSTA RICA;4090 Costa Rica & Acuña De Figueroa, Francisco;PALERMO;COMUNA 14;CALZADA;20;-34,5916;-58,4204
230;370;305;PLAZA MARTIN RODRIGUEZ;3016 Pareja;VILLA PUEYRREDON;COMUNA 12;CALZADA;20;-34,591;-58,5003
156;193;193;ARENALES Y AGUERO;2882 Arenales & Aguero;RECOLETA;COMUNA 2;CALZADA;20;-34,5909;-58,4061
26;30;30;PEÑA;Peña & Azcuenaga;RECOLETA;COMUNA 2;CALZADA;20;-34,5906;-58,3974
287;465;192;HOSPITAL SIRIO;Gabriela Mistral 3325 y Campana;VILLA DEVOTO ;COMUNA 11;VEREDA;12;-34,5904;-58,5071
225;393;300;JOSE ARTIGAS;Avenida del Campo y 14 de Julio;PATERNAL;COMUNA 15;CALZADA;6;-34,5903;-58,467
46;216;59;CORONEL DIAZ;3328 Guemes & Diaz, Cnel. Av.;PALERMO;COMUNA 14;CALZADA;20;-34,5902;-58,4116
21;25;25;PLAZA GUEMES;Salguero, Jeronimo & Mansilla, Lucio Norberto, General;PALERMO;COMUNA 14;PLAZA ABIERTA;24;-34,5898;-58,4166
78;101;101;FITZ ROY;1092 Fitz Roy & Loyola;CHACARITA;COMUNA 15;CALZADA;20;-34,5891;-58,4423
280;304;395;AGRONOMIA II;De Los Incas Av. & De Los Constituyentes Av.;AGRONOMIA;COMUNA 15;VEREDA;16;-34,5891;-58,48472
44;56;56;PLAZA PALERMO VIEJO;1829 Armenia & Costa Rica;PALERMO;COMUNA 14;CALZADA;16;-34,5887;-58,4262
135;166;166;CEMENTERIO DE LA RECOLETA;2000 Lopez, Vicente & Junin;RECOLETA;COMUNA 2;PLAZOLETA;20;-34,5886;-58,3942
153;189;189;POSADAS;1350 Posadas & Montevideo;RETIRO;COMUNA 1;CALZADA;20;-34,5885;-58,3855
161;200;200;AUSTRIA Y FRENCH;2080 Austria & French;RECOLETA;COMUNA 3;CALZADA;20;-34,5883;-58,4043
81;104;104;FEDERICO LACROZE;1100 Guzman Av. & Corrientes Av.;CHACARITA;COMUNA 15;PLAZOLETA;30;-34,5876;-58,4551
175;428;225;HOSPITAL TORNU;1052 Avalos;PARQUE CHAS;COMUNA 15;CALZADA;20;-34,5876;-58,474
51;65;65;JULIAN ALVAREZ;3822 Guemes & Alvarez, Julian;PALERMO;COMUNA 14;CALZADA;20;-34,5873;-58,416
315;498;55;HABANA;"Gral. José Gervasio Artigas 4298 (y Habana)
";VILLA PUEYRREDON;COMUNA 12;CALZADA;12;-34,5865;-58,4949
79;102;102;ROSETI;50 Roseti & Dorrego Av.;CHACARITA;COMUNA 15;CALZADA;12;-34,5864;-58,446
90;215;113;GUATEMALA;4773 Guatemala & Borges, Jorge Luis;PALERMO;COMUNA 14;CALZADA;20;-34,5857;-58,4251
9;9;9;PARQUE LAS HERAS;2300 Diaz, Cnel. Av. & French;PALERMO;COMUNA 14;PLAZA ABIERTA;24;-34,5855;-58,4077
154;190;190;JUNCAL;Juncal & Salguero, Jeronimo;PALERMO;COMUNA 14;CALZADA;20;-34,5852;-58,411
128;206;159;FITZ ROY Y GORRITI;Fitz Roy & Gorriti;PALERMO;COMUNA 14;CALZADA;16;-34,5849;-58,4372
1;202;1;FACULTAD DE DERECHO;2120 Figueroa Alcorta, Pres. Av.;RECOLETA;COMUNA 2;VEREDA;30;-34,5842;-58,3905
217;247;282;TRONADOR;Triunvirato Av. & Tronador;VILLA ORTUZAR;COMUNA 15;PLAZOLETA;18;-34,5841;-58,4663
240;43;334;CENTRO DE EXPOSICIONES;2133 Figueroa Alcorta;RECOLETA;COMUNA 2;PLAZOLETA;28;-34,5841;-58,3907
41;50;50;HOSPITAL RIVADAVIA;2516 Pereyra Lucena & Las Heras General Av.;PALERMO;COMUNA 14;CALZADA;20;-34,5836;-58,4012
100;205;125;F. J. SANTAMARIA DE ORO;Fray Justo Santamaria De Oro &Guatemala;PALERMO;COMUNA 14;VEREDA;16;-34,5834;-58,4281
278;448;393;BARRIO 31;11 Carlos H. Perette;RETIRO;COMUNA 1;VEREDA;24;-34,58309;-58,37782
